row,lo_b,lo_o,lo_r,mi_b,mi_o,mi_r,hi_b,hi_o,hi_r
1,1,-0.07658127720292873,0.28972034234970384,1,0.1716685136653398,0.5028008676439859,1,0.40916984954751845,0.6703919159564807
2,-0.07658127720292873,1,-0.3283053433012248,0.1716685136653398,1,-0.13043604413245885,0.40916984954751845,1,0.10248980994401632
3,0.28972034234970384,-0.3283053433012248,1,0.5028008676439859,-0.13043604413245885,1,0.6703919159564807,0.10248980994401632,1
