step,par,f
1,b_lz,0.21623652189876513
1,o_lz,0.8023966964807638
1,r_lz,0.3306573954791695
2,b_lz,0.6419509273579793
2,o_lz,2.3549763407833786
2,r_lz,9.371412320938058e-4
3,b_lz,0.2876816540700851
3,o_lz,3.341823899080814
3,r_lz,0.16458008046045228
4,b_lz,0.4028516769624915
4,o_lz,2.0094280016848574
4,r_lz,0.21518777443815826
5,b_lz,3.4782404017156536e-5
5,o_lz,0.49283609728351097
5,r_lz,0.24115997183267307
6,b_lz,0.0923422636855807
6,o_lz,0.1337349908065703
6,r_lz,2.156511451397932e-4
7,b_lz,0.19895923090612674
7,o_lz,1.0348743351979797
7,r_lz,0.15795463352146583
8,b_lz,0.1837787843262134
8,o_lz,0.7083485010312232
8,r_lz,0.1493030507734003
9,b_lz,2.7152014331311993
9,o_lz,5.9922135880643
9,r_lz,0.2605128010879071
10,b_lz,0.044269447655338294
10,o_lz,1.2819449957803335
10,r_lz,1.6207356623506142
11,b_lz,2.368458573195074
11,o_lz,1.2921308718989366
11,r_lz,0.9865265953900689
12,b_lz,0.47057279686558634
12,o_lz,0.06322529622919817
12,r_lz,0.1082976479580701
13,b_lz,0.2610079922831649
13,o_lz,0.060856042869744845
13,r_lz,0.7275003316958939
14,b_lz,0.0015975514591834569
14,o_lz,4.630698636545806
14,r_lz,0.30114095159794435
15,b_lz,0.10398202029176602
15,o_lz,8.440949653268544e-5
15,r_lz,0.10959713026574759
16,b_lz,0.5674976204096682
16,o_lz,0.6846962393458486
16,r_lz,0.18107061530852137
17,b_lz,0.1966025158267724
17,o_lz,0.1119263366588211
17,r_lz,0.1359034702255312
18,b_lz,0.3073876326284185
18,o_lz,0.21235092721987545
18,r_lz,0.4124697271162544
19,b_lz,1.0071416129948445
19,o_lz,5.824011402588762
19,r_lz,3.5631661446598852
20,b_lz,0.09541141057913205
20,o_lz,1.50645357992258
20,r_lz,0.03456852234360241
21,b_lz,0.16582704912095392
21,o_lz,0.10785849925657638
21,r_lz,0.1724864508352148
22,b_lz,0.2636907084714056
22,o_lz,0.3842257699309724
22,r_lz,0.08820856337418592
23,b_lz,0.06104699918174615
23,o_lz,0.22244608384065215
23,r_lz,0.04443321266349665
24,b_lz,1.0207462232446753
24,o_lz,1.986108594417913
24,r_lz,0.037899702208842354
25,b_lz,0.0030869114185909452
25,o_lz,0.6348987189739869
25,r_lz,0.33481745169083976
