row,lo_b_lz,lo_o_lz,lo_r_lz,mi_b_lz,mi_o_lz,mi_r_lz,hi_b_lz,hi_o_lz,hi_r_lz
1,1,-0.4051097277436498,-0.46297163962596266,1,-0.06671645875329923,-0.16340100452663653,1,0.27330004121875046,0.15256373746072266
2,-0.4051097277436498,1,-0.3191913093302591,-0.06671645875329923,1,0.03936771923011184,0.27330004121875046,1,0.4027335870962723
3,-0.46297163962596266,-0.3191913093302591,1,-0.16340100452663653,0.03936771923011184,1,0.15256373746072266,0.4027335870962723,1
