inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,midge_tubes,tt,ch,tp,or,flag,notes
11,11,2018-06-24,st33,4,0.5,0,2017,2018-06-24T14:38:00Z,2018-06-24T16:04:00Z,731.9,731.3,13.4,13.2,121.5,135.3,12.22,13.66,22,12,NA,NA,NA,NA,0,NA
12,12,2018-06-24,st33,4,0.5,1,2012,2018-06-24T14:37:00Z,2018-06-24T16:05:00Z,731.9,731.3,13.7,13.3,121.5,132.4,12.14,13.34,23.5,0,NA,NA,NA,NA,0,NA
13,13,2018-06-24,st33,4,0.5,3,2017,2018-06-24T14:40:00Z,2018-06-24T16:06:00Z,731.9,731.3,13.5,12.9,131.9,145.1,13.24,14.72,19,0,NA,NA,NA,NA,0,NA
14,14,2018-06-24,st33,4,0.5,5,2012,2018-06-24T14:39:00Z,2018-06-24T16:07:00Z,731.9,731.3,13.8,13,125.4,134.5,12.51,13.65,18.5,2,NA,NA,NA,NA,0,NA
15,15,2018-06-24,st33,4,0.5,10,2012,2018-06-24T14:41:00Z,2018-06-24T16:09:00Z,731.9,731.3,14,12.9,109.5,98.5,10.87,10.01,23,20,NA,NA,NA,NA,0,NA
1,16,2018-06-28,reyk,2,-0.05,0,2012,2018-06-28T19:55:00Z,2018-06-28T21:50:00Z,745.9,745.9,13.2,13.8,98,95.8,10.09,9.72,24,0,13,0,2,0,0,on shore
2,17,2018-06-28,reyk,2,-0.05,1,2017,2018-06-28T19:55:00Z,2018-06-28T21:48:00Z,745.9,745.9,12.5,13.4,96.9,97.1,10.13,9.95,27,9,9,2,0,0,0,on shore
3,18,2018-06-28,reyk,2,-0.05,3,2012,2018-06-28T19:58:00Z,2018-06-28T21:52:00Z,745.9,745.9,12.5,13.4,96.8,93.1,10.12,9.54,27.5,34,71,1,2,0,0,on shore
4,19,2018-06-28,reyk,2,-0.05,7,2017,2018-06-28T19:57:00Z,2018-06-28T21:53:00Z,745.9,745.9,12.3,12.8,98.1,97.5,10.3,10.12,23.5,3,NA,NA,NA,NA,0,on shore
5,20,2018-06-28,reyk,2,-0.05,10,2012,2018-06-28T20:00:00Z,2018-06-28T21:54:00Z,745.9,745.9,13.1,13.6,99.5,98.5,10.27,10.05,28.5,4,15,8,1,0,0,on shore
6,21,2018-06-28,reyk,2,-0.05,0,2017,2018-06-28T20:00:00Z,2018-06-28T21:56:00Z,745.9,745.9,13.2,14,103.4,108,10.64,10.92,22.5,32,52,4,3,0,0,on shore
7,22,2018-06-28,reyk,2,-0.05,1,2012,2018-06-28T20:01:00Z,2018-06-28T21:57:00Z,745.9,745.9,12.5,13.6,98.9,105.8,10.34,10.79,22,18,29,4,3,0,0,on shore
8,23,2018-06-28,reyk,2,-0.05,3,2017,2018-06-28T20:02:00Z,2018-06-28T21:58:00Z,745.9,745.9,12.4,13.3,97.5,100.1,10.21,10.28,26,15,16,4,4,0,0,on shore
9,24,2018-06-28,reyk,2,-0.05,7,2012,2018-06-28T20:04:00Z,2018-06-28T22:00:00Z,745.9,745.9,12,12.2,94,92.2,9.94,9.7,20,31,70,1,0,0,0,on shore
10,25,2018-06-28,reyk,2,-0.05,10,2017,2018-06-28T20:06:00Z,2018-06-28T22:02:00Z,745.9,745.9,12.8,13.8,92.2,87.2,9.57,8.85,16.5,17,37,5,7,0,0,on shore
11,26,2018-06-28,reyk,1,-0.05,0,2012,2018-06-28T20:05:00Z,2018-06-28T22:03:00Z,745.9,745.9,13.3,14,105.1,110.6,10.8,11.18,21.5,21,30,5,7,0,0,on shore
12,27,2018-06-28,reyk,1,-0.05,1,2017,2018-06-28T20:08:00Z,2018-06-28T22:04:00Z,745.9,745.9,12.2,13.7,101.1,106.8,10.64,10.86,22.5,25,40,9,1,0,0,on shore
13,28,2018-06-28,reyk,1,-0.05,3,2012,2018-06-28T20:08:00Z,2018-06-28T22:05:00Z,745.9,745.9,12.5,13.4,103.8,108.5,10.85,11.12,21,28,58,2,3,0,0,on shore
14,29,2018-06-28,reyk,1,-0.05,7,2017,2018-06-28T20:11:00Z,2018-06-28T22:06:00Z,745.9,745.9,11.9,12.6,98.2,100.3,10.41,10.45,23.5,13,17,2,0,0,0,on shore
15,30,2018-06-28,reyk,1,-0.05,10,2012,2018-06-28T20:09:00Z,2018-06-28T22:08:00Z,745.9,745.9,13,13.8,99.1,96.8,10.25,9.82,23,32,57,1,0,0,0,on shore
1,31,2018-07-17,reyk,3,0.5,0,2017,2018-07-17T17:36:00Z,2018-07-17T20:56:00Z,734.8,735.2,13.4,12.9,101.1,107,10.1,10.93,19,51,NA,NA,NA,NA,0,NA
2,32,2018-07-17,reyk,3,0.5,1,2012,2018-07-17T17:38:00Z,2018-07-17T20:56:00Z,734.8,735.2,13.4,13,103.4,106.8,10.45,10.89,19.5,63,NA,NA,NA,NA,0,NA
3,33,2018-07-17,reyk,3,0.5,3,2017,2018-07-17T17:39:00Z,2018-07-17T20:58:00Z,734.8,735.2,13.5,12.9,93.2,91.5,9.39,9.34,21.5,75,NA,NA,NA,NA,0,NA
4,34,2018-07-17,reyk,3,0.5,7,2012,2018-07-17T17:40:00Z,2018-07-17T20:58:00Z,734.8,735.2,13.5,13,97.3,94.5,9.8,9.63,21,35,NA,NA,NA,NA,0,NA
