site_name,site,event_name,event,do_flux,par,temp
reyk,1,reyk 2018-06-28,1,-0.0049637883008356466,39.84597589790951,13.5
reyk,1,reyk 2018-06-28,1,-0.015486033519553037,29.39819641929588,13.4
reyk,1,reyk 2018-06-28,1,-0.012167597765363162,16.585291053914048,13.45
reyk,1,reyk 2018-06-28,1,-0.0171932773109243,9.059189711114676,13.35
reyk,1,reyk 2018-06-28,1,-0.01608403361344533,0,13.45
reyk,1,reyk 2018-06-28,1,-0.023164345403899715,39.84597589790951,13.25
reyk,1,reyk 2018-06-28,1,-0.011679775280898825,29.39819641929588,13.35
reyk,1,reyk 2018-06-28,1,-0.02378212290502792,16.585291053914048,13.15
reyk,1,reyk 2018-06-28,1,-0.0050481586402266205,9.059189711114676,13.399999999999999
reyk,1,reyk 2018-06-28,1,-0.01779775280898878,0,13.25
reyk,1,reyk 2018-06-28,1,-0.014473684210526316,39.84597589790951,13.55
reyk,1,reyk 2018-06-28,1,-0.035110465116279035,29.39819641929588,13.399999999999999
reyk,1,reyk 2018-06-28,1,-0.012193548387096822,16.585291053914048,13.3
reyk,1,reyk 2018-06-28,1,-0.016116279069767404,9.059189711114676,13.15
reyk,1,reyk 2018-06-28,1,-0.006988235294117705,0,13.45
reyk,1,reyk 2018-06-28,1,-0.02721052631578951,39.84597589790951,13.4
reyk,1,reyk 2018-06-28,1,-0.004658823529411769,39.84597589790951,13.600000000000001
reyk,1,reyk 2018-07-17,2,-0.0056571428571428805,148.4008192515957,13.05
reyk,1,reyk 2018-07-17,2,0.0012097759674134163,80.78090924025163,12.9
reyk,1,reyk 2018-07-17,2,-0.0024294478527606845,25.710679656302386,13.05
reyk,1,reyk 2018-07-17,2,-0.00931288343558284,7.670895589849849,12.95
reyk,1,reyk 2018-07-17,2,-0.008555555555555518,0,13.05
reyk,1,reyk 2018-07-17,2,-4.0740740740739876e-4,148.4008192515957,13.05
reyk,1,reyk 2018-07-17,2,-0.0012247422680412834,80.78090924025163,13.05
reyk,1,reyk 2018-07-17,2,-0.007318275154004094,25.710679656302386,12.95
reyk,1,reyk 2018-07-17,2,0.006111111111111125,7.670895589849849,13.1
reyk,1,reyk 2018-07-17,2,-0.014288659793814489,0,13
reyk,1,reyk 2018-07-17,2,0.012655670103092804,148.4008192515957,13.2
reyk,1,reyk 2018-07-17,2,-0.008573195876288693,80.78090924025163,12.95
reyk,1,reyk 2018-07-17,2,0.008215767634854742,25.710679656302386,13.149999999999999
reyk,1,reyk 2018-07-17,2,-0.0012323651452281895,7.670895589849849,13
reyk,1,reyk 2018-07-17,2,-0.017324999999999997,0,13.25
reyk,1,reyk 2018-07-17,2,0.0037436974789915906,148.4008192515957,13.05
reyk,1,reyk 2018-07-17,2,0.006136363636363651,148.4008192515957,13.25
reyk,1,reyk 2018-08-10,3,0.0026283185840708183,337.89331202620883,12.8
reyk,1,reyk 2018-08-10,3,0.013670378619153697,249.2962898226837,12.8
reyk,1,reyk 2018-08-10,3,0.01143999999999999,140.64303355209532,12.95
reyk,1,reyk 2018-08-10,3,0.025248322147651017,76.82180061557702,12.45
reyk,1,reyk 2018-08-10,3,-0.007530201342281877,0,13
reyk,1,reyk 2018-08-10,3,0.015608108108108091,337.89331202620883,12.75
reyk,1,reyk 2018-08-10,3,0.02872767857142851,249.2962898226837,13.05
reyk,1,reyk 2018-08-10,3,0.02491685393258429,140.64303355209532,12.75
reyk,1,reyk 2018-08-10,3,0.012599999999999972,76.82180061557702,12.3
reyk,1,reyk 2018-08-10,3,-0.010726862302482999,0,12.350000000000001
reyk,1,reyk 2018-08-10,3,0.0121776765375854,337.89331202620883,13.55
reyk,1,reyk 2018-08-10,3,0.02024999999999997,249.2962898226837,13.05
reyk,1,reyk 2018-08-10,3,0.026671232876712324,140.64303355209532,12.8
reyk,1,reyk 2018-08-10,3,0.013592677345537709,76.82180061557702,12.05
reyk,1,reyk 2018-08-10,3,-0.0068119266055046025,0,12.399999999999999
reyk,1,reyk 2018-08-10,3,0.004562211981566885,337.89331202620883,12.25
reyk,1,reyk 2018-08-10,3,0.014565517241379323,337.89331202620883,12.649999999999999
reyk,1,reyk 2019-07-11,4,-0.0024672897196262255,131.89460724330402,14.8
reyk,1,reyk 2019-07-11,4,0.01665420560747661,97.31129638584068,14.7
reyk,1,reyk 2019-07-11,4,0.00804375000000005,54.89915606977625,14.75
reyk,1,reyk 2019-07-11,4,0.0031132075471698556,29.98692445007322,14.7
reyk,1,reyk 2019-07-11,4,-0.029981072555205077,0,14.8
reyk,1,reyk 2019-07-11,4,0.03508860759493674,131.89460724330402,14.75
reyk,1,reyk 2019-07-11,4,0.021861198738170325,97.31129638584068,14.8
reyk,1,reyk 2019-07-11,4,0.0187381703470032,54.89915606977625,14.8
reyk,1,reyk 2019-07-11,4,0.01998738170347005,29.98692445007322,14.75
reyk,1,reyk 2019-07-11,4,-0.01867924528301891,0,14.8
reyk,1,reyk 2019-07-11,4,0.051358361774744,131.89460724330402,14.899999999999999
reyk,1,reyk 2019-07-11,4,0.05085616438356165,97.31129638584068,14.85
reyk,1,reyk 2019-07-11,4,0.04662798634812294,54.89915606977625,14.85
reyk,1,reyk 2019-07-11,4,0.03784300341296931,29.98692445007322,14.85
reyk,1,reyk 2019-07-11,4,-0.015542662116040985,0,14.899999999999999
st33,2,st33 2018-06-24,5,-0.014744680851063889,431.5740436770401,14.3
st33,2,st33 2018-06-24,5,0.035681978798586554,318.4135466526005,14.3
st33,2,st33 2018-06-24,5,0.004897526501766804,179.6362358908582,14.2
