id,sampledate,site,rack,par,temp,do_flux
1,2018-06-24,st33,2,431.5740436770401,14.3,-0.014744680851063889
2,2018-06-24,st33,2,318.4135466526005,14.3,0.035681978798586554
3,2018-06-24,st33,2,179.6362358908582,14.2,0.004897526501766804
4,2018-06-24,st33,2,144.5741908219695,14.100000000000001,-0.023621052631578942
5,2018-06-24,st33,2,0,13.899999999999999,0.014589473684210584
6,2018-06-24,st33,2,431.5740436770401,14.1,-0.009938223938224
7,2018-06-24,st33,2,318.4135466526005,13.850000000000001,-0.022846153846153853
8,2018-06-24,st33,2,179.6362358908582,13.95,-0.028285714285714292
9,2018-06-24,st33,2,144.5741908219695,13.8,-0.007588850174215988
10,2018-06-24,st33,2,0,13.75,-0.005538461538461543
11,2018-06-24,st33,3,431.5740436770401,13.8,-0.047520000000000104
12,2018-06-24,st33,3,318.4135466526005,13.899999999999999,-0.03009600000000006
13,2018-06-24,st33,3,179.6362358908582,14.05,-0.014988047808764901
14,2018-06-24,st33,3,144.5741908219695,13.7,-0.0056842105263156684
15,2018-06-24,st33,3,0,13.55,-7.857142857142689e-4
16,2018-06-24,st33,3,431.5740436770401,13.7,-0.03657831325301212
17,2018-06-24,st33,3,431.5740436770401,NA,NA
18,2018-06-28,reyk,3,39.84597589790951,13.5,-0.0049637883008356466
19,2018-06-28,reyk,3,29.39819641929588,13.4,-0.015486033519553037
20,2018-06-28,reyk,3,16.585291053914048,13.45,-0.012167597765363162
21,2018-06-28,reyk,3,9.059189711114676,13.35,-0.0171932773109243
22,2018-06-28,reyk,3,0,13.45,-0.01608403361344533
23,2018-06-28,reyk,3,39.84597589790951,13.25,-0.023164345403899715
24,2018-06-28,reyk,3,29.39819641929588,13.35,-0.011679775280898825
25,2018-06-28,reyk,3,16.585291053914048,13.15,-0.02378212290502792
26,2018-06-28,reyk,3,9.059189711114676,13.399999999999999,-0.0050481586402266205
27,2018-06-28,reyk,3,0,13.25,-0.01779775280898878
28,2018-06-28,reyk,4,39.84597589790951,13.55,-0.014473684210526316
29,2018-06-28,reyk,4,29.39819641929588,13.399999999999999,-0.035110465116279035
30,2018-06-28,reyk,4,16.585291053914048,13.3,-0.012193548387096822
31,2018-06-28,reyk,4,9.059189711114676,13.15,-0.016116279069767404
32,2018-06-28,reyk,4,0,13.45,-0.006988235294117705
33,2018-06-28,reyk,4,39.84597589790951,13.4,-0.02721052631578951
34,2018-06-28,reyk,4,39.84597589790951,13.600000000000001,-0.004658823529411769
43,2018-07-17,reyk,3,148.4008192515957,13.05,-0.0056571428571428805
44,2018-07-17,reyk,3,80.78090924025163,12.9,0.0012097759674134163
45,2018-07-17,reyk,3,25.710679656302386,13.05,-0.0024294478527606845
46,2018-07-17,reyk,3,7.670895589849849,12.95,-0.00931288343558284
47,2018-07-17,reyk,3,0,13.05,-0.008555555555555518
48,2018-07-17,reyk,3,148.4008192515957,13.05,-4.0740740740739876e-4
49,2018-07-17,reyk,3,80.78090924025163,13.05,-0.0012247422680412834
50,2018-07-17,reyk,3,25.710679656302386,12.95,-0.007318275154004094
51,2018-07-17,reyk,3,7.670895589849849,13.1,0.006111111111111125
52,2018-07-17,reyk,3,0,13,-0.014288659793814489
53,2018-07-17,reyk,1,148.4008192515957,13.2,0.012655670103092804
54,2018-07-17,reyk,1,80.78090924025163,12.95,-0.008573195876288693
