Plot Title: plagic LG st.33 15aug18,,,,,,
#,"Date Time, GMT+00:00","Temp, °C (LGR S/N: 10349961, SEN S/N: 10349961)","Intensity, Lux (LGR S/N: 10349961, SEN S/N: 10349961)",End Of File (LGR S/N: 10349961),,
129,2018-08-15 10:08:00,15.951,0,,,
130,2018-08-15 10:09:00,15.951,0,,,
131,2018-08-15 10:10:00,15.951,0,,,
132,2018-08-15 10:11:00,16.046,4822.3,,,
133,2018-08-15 10:12:00,15.76,2927.8,,,
134,2018-08-15 10:13:00,15.473,2238.9,,,
135,2018-08-15 10:14:00,15.187,1722.2,,,
136,2018-08-15 10:15:00,14.9,1808.3,,,
137,2018-08-15 10:16:00,14.709,2497.2,,,
138,2018-08-15 10:17:00,14.421,2927.8,,,
139,2018-08-15 10:18:00,14.23,2497.2,,,
140,2018-08-15 10:19:00,14.038,2755.6,,,
141,2018-08-15 10:20:00,13.942,3272.2,,,
142,2018-08-15 10:21:00,13.75,2927.8,,,
143,2018-08-15 10:22:00,13.654,2927.8,,,
144,2018-08-15 10:23:00,13.461,2755.6,,,
145,2018-08-15 10:24:00,13.365,2669.5,,,
146,2018-08-15 10:25:00,13.173,2152.8,,,
147,2018-08-15 10:26:00,13.076,1808.3,,,
148,2018-08-15 10:27:00,12.883,1636.1,,,
149,2018-08-15 10:28:00,12.69,1550,,,
150,2018-08-15 10:29:00,12.594,1463.9,,,
151,2018-08-15 10:30:00,12.497,1259.4,,,
152,2018-08-15 10:31:00,12.304,1259.4,,,
153,2018-08-15 10:32:00,12.207,1205.6,,,
154,2018-08-15 10:33:00,12.11,1011.8,,,
155,2018-08-15 10:34:00,11.916,979.5,,,
156,2018-08-15 10:35:00,11.819,1162.5,,,
157,2018-08-15 10:36:00,11.722,1550,,,
158,2018-08-15 10:37:00,11.625,1722.2,,,
159,2018-08-15 10:38:00,11.528,2152.8,,,
160,2018-08-15 10:39:00,11.528,2325,,,
161,2018-08-15 10:40:00,11.431,2325,,,
162,2018-08-15 10:41:00,11.431,2411.1,,,
163,2018-08-15 10:42:00,11.334,2497.2,,,
164,2018-08-15 10:43:00,11.334,2497.2,,,
165,2018-08-15 10:44:00,11.236,2583.4,,,
166,2018-08-15 10:45:00,11.236,3272.2,,,
167,2018-08-15 10:46:00,11.139,3272.2,,,
168,2018-08-15 10:47:00,11.139,3272.2,,,
169,2018-08-15 10:48:00,11.139,3272.2,,,
170,2018-08-15 10:49:00,11.139,3100,,,
171,2018-08-15 10:50:00,11.139,2927.8,,,
172,2018-08-15 10:51:00,11.139,2927.8,,,
173,2018-08-15 10:52:00,11.139,2755.6,,,
174,2018-08-15 10:53:00,11.139,2497.2,,,
175,2018-08-15 10:54:00,11.139,2411.1,,,
176,2018-08-15 10:55:00,11.139,2152.8,,,
177,2018-08-15 10:56:00,11.139,2152.8,,,
178,2018-08-15 10:57:00,11.139,2325,,,
179,2018-08-15 10:58:00,11.139,2669.5,,,
180,2018-08-15 10:59:00,11.041,1808.3,,,
181,2018-08-15 11:00:00,11.041,2497.2,,,
182,2018-08-15 11:01:00,11.041,1636.1,,,
183,2018-08-15 11:02:00,11.041,1808.3,,,
184,2018-08-15 11:03:00,11.041,1894.5,,,
185,2018-08-15 11:04:00,11.041,2411.1,,,
186,2018-08-15 11:05:00,11.041,2325,,,
187,2018-08-15 11:06:00,11.041,2497.2,,,
188,2018-08-15 11:07:00,11.041,2325,,,
189,2018-08-15 11:08:00,10.944,1980.6,,,
190,2018-08-15 11:09:00,10.944,1722.2,,,
191,2018-08-15 11:10:00,10.944,1980.6,,,
192,2018-08-15 11:11:00,10.944,2583.4,,,
193,2018-08-15 11:12:00,10.944,2238.9,,,
194,2018-08-15 11:13:00,10.944,2238.9,,,
195,2018-08-15 11:14:00,10.944,2238.9,,,
196,2018-08-15 11:15:00,10.944,2325,,,
197,2018-08-15 11:16:00,11.041,3100,,,
198,2018-08-15 11:17:00,11.041,3444.5,,,
199,2018-08-15 11:18:00,11.041,3616.7,,,
200,2018-08-15 11:19:00,11.041,3616.7,,,
201,2018-08-15 11:20:00,11.041,3272.2,,,
202,2018-08-15 11:21:00,11.139,3100,,,
203,2018-08-15 11:22:00,11.139,3444.5,,,
204,2018-08-15 11:23:00,11.139,3272.2,,,
205,2018-08-15 11:24:00,11.139,3272.2,,,
206,2018-08-15 11:25:00,11.139,3272.2,,,
207,2018-08-15 11:26:00,11.236,3272.2,,,
208,2018-08-15 11:27:00,11.236,3272.2,,,
209,2018-08-15 11:28:00,11.236,3100,,,
210,2018-08-15 11:29:00,11.334,3100,,,
211,2018-08-15 11:30:00,11.334,3100,,,
212,2018-08-15 11:31:00,11.334,3272.2,,,
213,2018-08-15 11:32:00,11.334,2669.5,,,
214,2018-08-15 11:33:00,11.334,3788.9,,,
215,2018-08-15 11:34:00,11.431,3444.5,,,
216,2018-08-15 11:35:00,11.431,3616.7,,,
217,2018-08-15 11:36:00,11.431,2669.5,,,
218,2018-08-15 11:37:00,11.528,2669.5,,,
219,2018-08-15 11:38:00,11.528,2669.5,,,
220,2018-08-15 11:39:00,11.528,2669.5,,,
221,2018-08-15 11:40:00,11.528,2755.6,,,
222,2018-08-15 11:41:00,11.528,2583.4,,,
223,2018-08-15 11:42:00,11.625,2755.6,,,
224,2018-08-15 11:43:00,11.625,2325,,,
225,2018-08-15 11:44:00,11.625,2497.2,,,
226,2018-08-15 11:45:00,11.625,2152.8,,,
227,2018-08-15 11:46:00,11.722,2497.2,,,
228,2018-08-15 11:47:00,11.722,2669.5,,,
229,2018-08-15 11:48:00,11.722,2669.5,,,
230,2018-08-15 11:49:00,11.722,2755.6,,,
231,2018-08-15 11:50:00,11.722,2583.4,,,
232,2018-08-15 11:51:00,11.819,2583.4,,,
233,2018-08-15 11:52:00,11.819,2669.5,,,
234,2018-08-15 11:53:00,11.819,2325,,,
235,2018-08-15 11:54:00,11.916,24800.2,,,
236,2018-08-15 11:55:00,12.207,13089,,,
237,2018-08-15 11:56:00,12.69,5511.1,,,
238,2018-08-15 11:57:00,13.076,7233.4,,,
239,2018-08-15 11:58:00,13.365,7233.4,,,
240,2018-08-15 11:59:00,13.654,8266.7,,,
241,2018-08-15 12:00:00,13.75,12400.1,,,
242,2018-08-15 12:01:00,13.942,12400.1,,,
243,2018-08-15 12:02:00,14.325,4305.6,,,
244,2018-08-15 12:03:00,14.613,4994.5,,,
245,2018-08-15 12:04:00,14.709,5511.1,,,
246,2018-08-15 12:05:00,14.9,5166.7,,,
247,2018-08-15 12:06:00,15.091,4822.3,,,
248,2018-08-15 12:07:00,15.282,3788.9,,,
249,2018-08-15 12:08:00,15.378,3272.2,,,
250,2018-08-15 12:09:00,15.473,3444.5,,,
251,2018-08-15 12:10:00,15.664,3444.5,,,
252,2018-08-15 12:11:00,15.76,3616.7,,,
253,2018-08-15 12:12:00,15.855,3788.9,,,
254,2018-08-15 12:13:00,15.951,3788.9,,,
255,2018-08-15 12:14:00,16.046,2325,,,
256,2018-08-15 12:15:00,16.046,2583.4,,,
257,2018-08-15 12:16:00,16.046,2583.4,,,
258,2018-08-15 12:17:00,16.046,2497.2,,,
259,2018-08-15 12:18:00,16.046,2583.4,,,
