inc_id,id,sampledate,site,rack,inc_depth,light_trt,probe,time_start,time_end,duration,barom_start,barom_end,temp_start,temp_end,o2_sat_start,o2_sat_end,do_start,do_end,column_depth,do_flux,midge_tubes,tt,ch,tp,or,flag,notes
14,29,2018-06-28,reyk,1,-0.05,7,2017,2018-06-28 20:11,2018-06-28 22:06,1.92,745.9,745.9,11.9,12.6,98.2,100.3,10.41,10.45,23.5,0.0049,13,17,4,0,0,0,on shore
15,30,2018-06-28,reyk,1,-0.05,10,2012,2018-06-28 20:09,2018-06-28 22:08,1.98,745.9,745.9,13.0,13.8,99.1,96.8,10.25,9.82,23.0,-0.0499,32,57,1,0,0,0,on shore
1,31,2018-07-17,reyk,3,0.5,0,2017,2018-07-17 17:36,2018-07-17 20:56,3.33,734.8,735.2,13.4,12.9,101.1,107.0,10.10,10.93,19.0,0.0473,51,NA,NA,NA,NA,0,
2,32,2018-07-17,reyk,3,0.5,1,2012,2018-07-17 17:38,2018-07-17 20:56,3.30,734.8,735.2,13.4,13.0,103.4,106.8,10.45,10.89,19.5,0.0260,63,NA,NA,NA,NA,0,
3,33,2018-07-17,reyk,3,0.5,3,2017,2018-07-17 17:39,2018-07-17 20:58,3.32,734.8,735.2,13.5,12.9,93.2,91.5,9.39,9.34,21.5,-0.0032,75,NA,NA,NA,NA,0,
4,34,2018-07-17,reyk,3,0.5,7,2012,2018-07-17 17:40,2018-07-17 20:58,3.30,734.8,735.2,13.5,13.0,97.3,94.5,9.80,9.63,21.0,-0.0108,35,NA,NA,NA,NA,0,
5,35,2018-07-17,reyk,3,0.5,10,2017,2018-07-17 17:41,2018-07-17 21:00,3.32,734.8,735.2,13.4,13.0,98.8,95.8,9.97,9.76,18.5,-0.0117,70,NA,NA,NA,NA,0,
6,36,2018-07-17,reyk,3,0.5,0,2012,2018-07-17 17:42,2018-07-17 21:00,3.30,734.8,735.2,13.4,13.1,104.3,109.4,10.54,11.13,19.2,0.0343,60,NA,NA,NA,NA,0,
7,37,2018-07-17,reyk,3,0.5,1,2017,2018-07-17 17:43,2018-07-17 21:01,3.30,734.8,735.2,13.4,13.0,91.3,91.7,9.22,9.34,22.0,0.0080,2,NA,NA,NA,NA,0,
8,38,2018-07-17,reyk,3,0.5,3,2012,2018-07-17 17:43,2018-07-17 21:02,3.32,734.8,735.2,13.4,13.0,101.0,102.9,10.20,10.49,21.5,0.0188,70,NA,NA,NA,NA,0,
9,39,2018-07-17,reyk,3,0.5,7,2017,2018-07-17 17:45,2018-07-17 21:03,3.30,734.8,735.2,13.4,12.9,91.0,83.4,9.19,8.49,17.5,-0.0371,68,NA,NA,NA,NA,0,
